,content,score,thumbsUpCount,reviewCreatedVersion,reviewDate,repliedContent,repliedAt
13,"Experiência ruim, interface péssima e usabilidade pior.",2,0,2.2.438005.0,2021-12-14 23:02:53,,
16,"Aplicativo não responde aos toques, demora abrir, lento ao extremo",1,0,2.2.438005.0,2021-12-14 22:12:12,,
18,Pior app do mundo,1,0,2.2.438005.0,2021-12-14 22:03:15,,
20,"A Alexa e o Echo Dot são excelentes, agora esse app está péssimo, você clica em algo e a ação ocorre depois de 1 minuto, tenho 6GB de RAM e Octa Core (Redmi Note 9S) não é meu aparelho",1,0,,2021-12-14 21:33:19,,
22,até agora não funcionou com minha tv LG e nem com minha câmera Intelbras,1,0,2.2.438005.0,2021-12-14 21:16:24,,
29,"é um inferno quando precisa configurar algo, leva mais de 30 minutos sempre da vários erros.",1,0,2.2.438005.0,2021-12-14 19:19:25,,
35,"Aplicativo muito ruim. Muito lento. Tem tudo o que é necessário para operar o equipamento, não fosse a lentidão do app., seria excelente.",2,0,2.2.438005.0,2021-12-14 18:21:41,,
44,#orrível já tô 10 horas esperando ele dar senha e Amil consertar isso mano serio ontem ele mandará o código poloquei código mas no foi fiquei tão puto,1,0,2.2.438005.0,2021-12-14 14:33:02,,
59,Não está funcionando corretamente pede para ligar luz disse que não foi encontrado,1,0,2.2.438005.0,2021-12-14 09:34:16,,
62,"A app brasileira está toda em brasileiro, a app portuguesa está em brasileiro e inglês, sério, por favor traduzam a app por completo.",2,0,2.2.438005.0,2021-12-14 08:22:10,,
68,"Quero saber o pq, veio descontado na minha conta um valor sendo q não comprei nada!",1,0,2.2.438005.0,2021-12-13 22:59:37,,
80,"horrível, não funciona e não cumpre com o mínimo",1,0,2.2.438005.0,2021-12-13 20:34:45,,
109,Não consegue tocar a música que pedimos!!!,1,0,2.2.436689.0,2021-12-13 07:17:45,,
110,Não funciona!,1,0,2.2.438005.0,2021-12-13 00:05:19,,
129,péssima usabilidade,1,0,2.2.438005.0,2021-12-12 19:01:37,,
155,difícil fazer a configuração,1,0,2.2.438005.0,2021-12-11 23:29:29,,
161,"Após a última atualização, o echodot ficou uns dias desligado, e agora não acessa minha rede wi-fi. Desinstalando tudo pra ver se funciona. E nem instalar o app de novo estou conseguindo, para no 97% e não conclui.",1,0,2.2.384932.0,2021-12-11 20:02:59,,
172,"Não consigo baixar áudio de livros, caiu a internet cai o áudio.",1,0,2.2.438005.0,2021-12-11 15:49:13,,
185,Tem q pagar?,1,0,,2021-12-11 08:27:55,,
