,content,score,thumbsUpCount,reviewCreatedVersion,reviewDate,repliedContent,repliedAt
25,"Apesar de ser bom, precisa ser mais interativo... maior facilidade...",3,0,2.2.438005.0,2021-12-14 20:37:27,,
36,ainda faltam muitas funções,3,0,2.2.438005.0,2021-12-14 17:22:48,,
41,bom,3,0,2.2.438005.0,2021-12-14 16:18:08,,
60,ela tem dificuldade para entender,3,0,2.2.438005.0,2021-12-14 09:31:33,,
74,as direções para executar ações são um pouco confusas,3,0,2.2.438005.0,2021-12-13 21:57:03,,
79,"não é tão precisa assim, tem muitas falhas.",3,0,2.2.438005.0,2021-12-13 20:39:43,,
84,pouco intuitivo,3,0,2.2.438005.0,2021-12-13 19:31:49,,
104,"Tem tudo para ser fantástico, porém o aplicativo é lento... demora a responder.",3,0,2.2.438005.0,2021-12-13 10:49:19,,
114,Bom,3,0,2.2.438005.0,2021-12-12 23:26:34,,
118,Eee..,3,0,2.2.438005.0,2021-12-12 22:47:23,,
144,Novo Feedback Vamos lá: Hoje : 3 echo Dot 3°geracao 1 echo show 8 1 infravermelho Para as 2 TVs 1 Smart TV com Alexa integrada 1 sonoff rf ( coloquei em uma fechadura elétrica comum com um interruptor de campainha) 1 sonoff mini 1 válvula solenóide ligada com 1 sonoff mini pra agoar o jardim 2 sonoff mini desligados ( ventilador/ cafeteira 1 interruptor 2 botões 1 interruptor 3 botões 1 interruptor 4 botões Muitos bugs quando cai a internet ou falta de energia por isso nota 5 de 10,3,0,2.2.438005.0,2021-12-12 11:24:29,,
145,Aplicativo interessante,3,0,,2021-12-12 11:21:42,,
154,complicado entender,3,0,2.2.438005.0,2021-12-12 00:47:26,,
166,A lista de compras deveria ter leitor de código de barras para somar o valor do produto automaticamente e também para fazer comparação com outros supermercados.,3,0,,2021-12-11 17:57:51,,
173,Aplicação meio em português de Portugal e meio inglês. Podia ter uma opção para transferir todas as rotinas de uma só vez para outro utilizador família. É pena a Alexa ainda não falar Português de Portugal. Estou a tentar desenvolver uma skill para a Alexa utilizar a minha smart TV para visualizar conteúdos do YouTube e fazer vídeo chamadas. Existem problemas de sincronização com as skills como o Smart Life e o Magic Home. Os switch de persianas só aparecem depois de abrir o desportivo um a um.,3,12,2.2.438005.0,2021-12-11 15:17:09,,
