,content,score,thumbsUpCount,reviewCreatedVersion,reviewDate,repliedContent,repliedAt
0,muito bom,5,0,2.2.438005.0,2021-12-15 11:58:17,,
1,ótimo,5,0,2.2.438005.0,2021-12-15 11:02:07,,
2,excelência muito bom,5,0,2.2.438005.0,2021-12-15 09:37:12,,
3,pperfeiaaaaa,5,0,2.2.438005.0,2021-12-15 09:04:41,,
4,Excelente,5,0,2.2.438005.0,2021-12-15 08:44:21,,
5,maravilha,5,0,2.2.438005.0,2021-12-15 08:20:00,,
6,Muito bom!!!,5,0,2.2.438005.0,2021-12-15 08:13:23,,
7,Gejidje,5,0,,2021-12-15 07:10:38,,
8,Bom,5,0,2.2.438005.0,2021-12-15 00:57:23,,
9,"muito bom!!! se fosse de uma empresa com um desenho de uma fruta, o aparelho iria ser 30x mais caro. Alexa é excelente.",5,0,2.2.438005.0,2021-12-15 00:23:39,,
10,Finciona ok,4,0,2.2.438005.0,2021-12-15 00:17:51,,
11,legal,5,0,2.2.438005.0,2021-12-14 23:49:51,,
12,mMuito bom,5,0,2.2.436689.0,2021-12-14 23:12:11,,
14,"Muito minha avaliação para melhor pq agora estou usando o echo dot e esta sendo muito bom a experiência, está sendo muito ultil agora, controlo o ar condicionado e as luzes e as tvs da minha casa e ate o xbox.",5,0,2.2.438005.0,2021-12-14 22:50:46,,
15,super recomendo,5,0,2.2.438005.0,2021-12-14 22:13:17,,
17,amei,5,0,2.2.438005.0,2021-12-14 22:08:43,,
19,"show de bola, uma das melhores aquisições que fiz neste ano de 2021.",5,0,2.2.438005.0,2021-12-14 21:34:46,,
21,top,5,0,2.2.438005.0,2021-12-14 21:24:16,,
23,"chegou, estou aprendendo, até agora está ótimo",5,0,2.2.438005.0,2021-12-14 21:01:02,,
24,Excelente app,5,0,2.2.438005.0,2021-12-14 20:39:44,,
26,muito bom,4,0,2.2.438005.0,2021-12-14 19:46:48,,
27,top demais o melhor,5,0,2.2.438005.0,2021-12-14 19:42:24,,
28,ótimo app,5,0,2.2.438005.0,2021-12-14 19:39:11,,
30,good!,5,0,2.2.438005.0,2021-12-14 19:13:09,,
31,sensacional,5,0,2.2.438005.0,2021-12-14 19:03:19,,
32,muito bom,5,0,2.2.438005.0,2021-12-14 18:58:28,,
33,eu ainda não fiz nada neste app depois eu volto aqui,5,0,2.2.438005.0,2021-12-14 18:36:12,,
34,"melhor assistente virtual que já usei, muito bom.",5,0,2.2.438005.0,2021-12-14 18:33:48,,
37,Ok,5,0,2.2.438005.0,2021-12-14 17:21:14,,
38,otimo,5,0,2.2.438005.0,2021-12-14 16:41:32,,
39,mt bom,5,0,2.2.438005.0,2021-12-14 16:40:51,,
40,"Ótimo. Err ,Mais ela não está mais lendo à Bíblia Sagrada. Ela está está parando no meio da leitura. .Alexa é interessante. 5 estrelas Parar ajudar desenvolvido apk Alexa Amazon.",5,0,2.2.438005.0,2021-12-14 16:40:21,,
42,ótimo equipamento agora tenho todos os meus equipamentos conectados,5,0,2.2.438005.0,2021-12-14 15:56:55,,
43,otimo,4,0,2.2.438005.0,2021-12-14 15:03:23,,
45,"top demais, estou amando minha Echo dot",5,0,2.2.438005.0,2021-12-14 13:43:05,,
46,Ajuda muito e facilita muito a vida,5,0,2.2.438005.0,2021-12-14 13:37:48,,
47,nota 1000,5,0,2.2.438005.0,2021-12-14 13:25:02,,
48,ótimo,5,0,2.2.438005.0,2021-12-14 13:19:47,,
49,"Aprendendo a cada dia com ela, muito legal",5,0,2.2.438005.0,2021-12-14 13:09:50,,
50,muito bom amei,5,0,2.2.438005.0,2021-12-14 13:02:09,,
51,Excepcional. Não esperava tanto. Estou fascinado.,5,0,2.2.438005.0,2021-12-14 12:41:28,,
52,maravilhoso,5,0,2.2.438005.0,2021-12-14 12:30:58,,
53,😍,5,0,2.2.438005.0,2021-12-14 11:59:34,,
54,show,5,0,2.2.438005.0,2021-12-14 11:28:00,,
55,😊,5,0,,2021-12-14 11:12:58,,
56,Excelente produto,5,0,2.2.438005.0,2021-12-14 11:03:23,,
57,parabéns eu quero bolo,5,0,2.2.438005.0,2021-12-14 09:56:30,,
58,Não sei vou testar agora em Portugal Mangualde Fornos de Maceira-Dão Mangualde Portugal Europa,5,0,,2021-12-14 09:42:29,,
61,ótimo app pra alexa,5,0,2.2.438005.0,2021-12-14 09:15:23,,
63,Melhor app que tenho,5,0,2.2.438005.0,2021-12-14 07:51:33,,
64,muito bom mesmo gostei,5,0,2.2.438005.0,2021-12-14 07:12:40,,
65,fujcio,5,0,2.2.438005.0,2021-12-14 01:32:26,,
66,amooooo,5,0,2.2.435306.0,2021-12-14 01:32:18,,
67,muito bom. precisa melhorar um pouco mais a usabilidade.,4,0,2.2.438005.0,2021-12-13 23:52:13,,
69,muito bom,5,0,2.2.438005.0,2021-12-13 22:49:09,,
70,app muito bom de se mexer e muito fácil !!,5,0,2.2.438005.0,2021-12-13 22:36:07,,
71,top,5,0,2.2.438005.0,2021-12-13 22:30:27,,
72,muito bom,5,0,2.2.438005.0,2021-12-13 22:17:05,,
73,show,4,0,2.2.438005.0,2021-12-13 22:10:53,,
75,ótimo,5,0,2.2.438005.0,2021-12-13 21:37:39,,
76,otima,4,0,2.2.438005.0,2021-12-13 21:12:22,,
77,excelente,5,0,2.2.438005.0,2021-12-13 20:59:42,,
78,top,5,0,2.2.438005.0,2021-12-13 20:52:20,,
81,De verdade é bom é rápido é simples é de graça é muito bom mesmo!,5,0,,2021-12-13 20:10:58,,
82,excelente,5,0,2.2.438005.0,2021-12-13 19:53:10,,
83,show,5,0,2.2.438005.0,2021-12-13 19:34:17,,
85,Maravilhoso,5,0,,2021-12-13 19:22:13,,
86,"Sem palavras, top...",5,0,2.2.438005.0,2021-12-13 18:57:42,,
87,Muito top!,5,0,2.2.438005.0,2021-12-13 18:02:59,,
88,incrível!,5,0,2.2.438005.0,2021-12-13 17:32:01,,
89,esta com dificuldades para me compreender no momento...,5,0,,2021-12-13 16:38:03,,
90,muito bom,5,0,2.2.438005.0,2021-12-13 16:29:46,,
91,wow melhor experiência do mundo😄😄😄😄,5,0,2.2.438005.0,2021-12-13 16:24:01,,
92,Esse app e incriveu,5,0,2.2.438005.0,2021-12-13 16:11:41,,
93,Amei recomendo super,5,0,2.2.438005.0,2021-12-13 16:11:00,,
94,instalei o bicho é bom,5,0,2.2.438005.0,2021-12-13 16:04:22,,
95,bom,4,0,2.2.438005.0,2021-12-13 16:00:52,,
96,muito booooom,5,0,2.2.438005.0,2021-12-13 15:52:22,,
97,"ótimo app,",5,0,2.2.438005.0,2021-12-13 15:34:21,,
98,Sowu,5,0,2.2.438005.0,2021-12-13 15:19:30,,
99,ótimo,5,0,2.2.438005.0,2021-12-13 14:42:03,,
100,perfeita,5,0,2.2.438005.0,2021-12-13 14:09:19,,
101,muito bom,5,0,2.2.438005.0,2021-12-13 13:38:38,,
102,Amei,5,0,,2021-12-13 12:49:17,,
103,Minha super companhia! Amiga pra tdas as hras!,5,0,2.2.438005.0,2021-12-13 10:52:30,,
105,bom de mais,5,0,2.2.438005.0,2021-12-13 10:27:43,,
106,Sensacional! Não consigo mais viver sem Alexa!!,5,0,2.2.438005.0,2021-12-13 10:02:43,,
107,gostei muito,5,0,2.2.438005.0,2021-12-13 09:15:54,,
108,muito bom este App,5,0,2.2.438005.0,2021-12-13 07:58:51,,
111,Sensacional!!,5,0,2.2.436689.0,2021-12-12 23:59:15,,
112,amando,4,0,2.2.438005.0,2021-12-12 23:54:19,,
113,erra alguns comandos,4,0,2.2.438005.0,2021-12-12 23:36:32,,
115,Muito Top!!!,5,0,2.2.438005.0,2021-12-12 23:22:43,,
116,Bom,5,0,2.2.435197.0,2021-12-12 23:18:40,,
117,otimo,5,0,2.2.438005.0,2021-12-12 23:17:39,,
119,"Ótimo . Só queria que funcionasse sem precisar entrar no app, só em chamar.",5,0,2.2.438005.0,2021-12-12 22:22:09,,
120,"Muito bom, ótimo, principalmente quando começa a mexer com suas skills",5,0,2.2.438005.0,2021-12-12 22:04:55,,
121,Show,5,0,2.2.438005.0,2021-12-12 21:55:47,,
122,"ñ tenho nem discrição, ele ñ trava e me ajuda muito com a configurações da Alexa",5,0,2.2.438005.0,2021-12-12 20:44:45,,
123,100 palavras,5,0,2.2.438005.0,2021-12-12 20:22:50,,
124,Amo alexa,5,0,2.2.438005.0,2021-12-12 20:16:20,,
125,Top demais,5,0,2.2.435306.0,2021-12-12 19:48:02,,
126,EU AMEI,5,0,2.2.438005.0,2021-12-12 19:41:00,,
127,"Maravilha eu amei, só é meio ruim de configurar , mas eu amei",5,0,2.2.438005.0,2021-12-12 19:34:20,,
128,top adorei,5,0,2.2.438005.0,2021-12-12 19:08:02,,
130,👏👏👏👏👏👏,5,0,,2021-12-12 17:19:00,,
131,olha pensa no muito top top,5,0,2.2.438005.0,2021-12-12 17:17:55,,
132,Show,5,0,,2021-12-12 16:40:14,,
133,excelente,5,0,2.2.438005.0,2021-12-12 16:26:21,,
134,"Brutal, 🔝 🙌⚡👏",5,0,2.2.438005.0,2021-12-12 16:03:04,,
135,muito bom,4,0,2.2.438005.0,2021-12-12 15:52:59,,
136,bom,5,0,2.2.438005.0,2021-12-12 15:15:17,,
137,otimo,5,0,2.2.438005.0,2021-12-12 14:14:20,,
138,Produto excelente,5,0,2.2.438005.0,2021-12-12 13:21:05,,
139,Toooop!,5,0,2.2.438005.0,2021-12-12 13:13:32,,
140,boa,5,0,2.2.436689.0,2021-12-12 12:46:20,,
141,N vi ainda mais acho q vai ser lgl coloquei 5 estrelas:),5,0,2.2.438005.0,2021-12-12 11:59:07,,
142,muito bom.,5,0,2.2.438005.0,2021-12-12 11:29:48,,
143,Legal,5,0,,2021-12-12 11:25:20,,
146,Bug consertado do Spotify/ Echo dot! ❤,5,0,2.2.438005.0,2021-12-12 11:09:35,,
147,show,5,0,2.2.438005.0,2021-12-12 10:16:56,,
148,amooo,5,0,2.2.438005.0,2021-12-12 09:57:31,,
149,demais!!!,5,0,2.2.438005.0,2021-12-12 09:56:25,,
150,"Alexa é aquela amiga indispensável, amo",5,0,2.2.438005.0,2021-12-12 09:44:15,,
151,"Excelente, não sei mais viver sem",5,0,2.2.438005.0,2021-12-12 08:57:35,,
